英文	中文
person	人
bicycle	自行车
car	汽车
motorbike	摩托车
aeroplane	飞机
bus	公共汽车
train	火车
truck	卡车
boat	小船
traffic light	红绿灯
fire hydrant	消火栓
stop sign	停车标志
parking meter	停车收费表
bench	长凳
bird	鸟
cat	猫咪
dog	狗狗
horse	马
sheep	绵羊
cow	母牛
elephant	大象
bear	熊
zebra	斑马
giraffe	长颈鹿
backpack	背包
umbrella	雨伞
handbag	手提包
tie	领带
suitcase	手提箱
fris bee	冷杉蜂
skis	滑雪板
snowboard	滑雪板
sports ball	运动球
kite	风筝
baseball bat	棒球棒
baseball glove	棒球手套
skateboard	滑板
surfboard	冲浪板
tennis racket	网球拍
bottle	瓶子
wine glass	酒杯
cup	杯子
fork	叉子
knife	刀
spoon	汤勺
bowl	碗
banana	香蕉
apple	苹果
sandwich	三明治
orange	橙子
broccoli	西兰花
carrot	胡萝卜
hot dog	热狗
pizza	比萨饼
donut	甜甜圈
cake	蛋糕
chair	椅子
sofa	沙发
potted plant	盆栽植物
bed	床
dining table	餐桌
toilet	马桶
tv monitor	电视监视器
laptop	手提电脑
mouse	鼠标
remote	遥控
keyboard	键盘
cell phone	手机
microwave	微波
oven	烤箱
toaster	烤面包机
sink	水槽
refrigerator	冰箱
book	书
clock	钟表
vase	花瓶
scissors	剪刀
teddy bear	泰迪熊
hair drier	吹风机
toothbrush	牙刷
